<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
20180906,300,1.29239,1.29241,1.29079,1.29104
20180906,400,1.29105,1.29177,1.29091,1.29131
20180906,500,1.29135,1.29145,1.29023,1.2903
20180906,600,1.2903,1.29141,1.2896,1.29108
20180906,700,1.29108,1.29289,1.29025,1.29103
20180906,800,1.29103,1.29452,1.29092,1.29409
20180906,900,1.2941,1.29438,1.2918,1.29313
20180906,1000,1.29314,1.29415,1.29281,1.29329
20180906,1100,1.29329,1.29419,1.29201,1.2936
20180906,1200,1.2936,1.29598,1.29349,1.29432
20180906,1300,1.29432,1.29523,1.29322,1.29493
20180906,1400,1.29495,1.29622,1.29125,1.29459
20180906,1500,1.29461,1.29496,1.29209,1.29311
20180906,1600,1.2931,1.2945,1.2929,1.29341
20180906,1700,1.29341,1.29375,1.29259,1.29313
20180906,1800,1.29311,1.29442,1.29302,1.29334
20180906,1900,1.29334,1.29367,1.29233,1.29263
20180906,2000,1.29262,1.29352,1.29221,1.29261
20180906,2100,1.2926,1.29277,1.29245,1.29258
20180906,2200,1.29258,1.29306,1.29245,1.29279
20180906,2300,1.2928,1.29291,1.29238,1.29244
20180907,0,1.29244,1.29267,1.29194,1.29223
20180907,100,1.29221,1.29306,1.29199,1.29265
20180907,200,1.29265,1.293,1.29224,1.29234
20180907,300,1.29233,1.29292,1.2919,1.29256
20180907,400,1.29255,1.29332,1.29255,1.29308
20180907,500,1.29311,1.29352,1.29215,1.29233
20180907,600,1.29234,1.29477,1.29134,1.29372
20180907,700,1.29372,1.2947,1.29304,1.29433
20180907,800,1.29435,1.29437,1.29317,1.29419
20180907,900,1.29417,1.29756,1.29268,1.29667
20180907,1000,1.29666,1.30278,1.29566,1.30174
20180907,1100,1.30171,1.30214,1.2982,1.29865
20180907,1200,1.29866,1.30154,1.29626,1.2965
20180907,1300,1.2965,1.297,1.29467,1.29589
20180907,1400,1.29588,1.29878,1.29499,1.29505
20180907,1500,1.29505,1.29897,1.29284,1.29327
20180907,1600,1.29327,1.2935,1.29206,1.29279
20180907,1700,1.29278,1.29297,1.29081,1.29176
20180907,1800,1.29176,1.29247,1.29167,1.29236
20180907,1900,1.29237,1.29244,1.29173,1.29203
20180907,2000,1.29203,1.29238,1.29128,1.29137
20180909,2100,1.29179,1.29234,1.29179,1.292
20180909,2200,1.29198,1.29289,1.29155,1.29248
20180909,2300,1.29248,1.29292,1.29245,1.29287
20180910,0,1.29287,1.29315,1.29227,1.29309
20180910,100,1.29308,1.29319,1.29218,1.29218
20180910,200,1.29218,1.29253,1.29177,1.29205
20180910,300,1.29205,1.29241,1.29077,1.29091
20180910,400,1.29093,1.29142,1.29081,1.29124
20180910,500,1.29122,1.29164,1.29092,1.29163
20180910,600,1.29163,1.2924,1.28967,1.29021
20180910,700,1.29021,1.29432,1.2902,1.29367
20180910,800,1.29368,1.29479,1.2929,1.29429
20180910,900,1.29429,1.29549,1.29367,1.29392
20180910,1000,1.29392,1.29392,1.29235,1.29326
20180910,1100,1.29326,1.29395,1.29206,1.29391
20180910,1200,1.29388,1.30329,1.29357,1.30298
20180910,1300,1.30299,1.30514,1.3007,1.30118
20180910,1400,1.30118,1.30373,1.30064,1.30179
20180910,1500,1.3018,1.30296,1.30152,1.30253
20180910,1600,1.30251,1.30306,1.30199,1.30287
20180910,1700,1.30286,1.30376,1.30254,1.30348
20180910,1800,1.30348,1.30362,1.30266,1.30279
20180910,1900,1.30279,1.30295,1.30217,1.3028
20180910,2000,1.30278,1.30283,1.30235,1.30253
20180910,2100,1.30253,1.30292,1.30212,1.30272
20180910,2200,1.30278,1.30286,1.30218,1.30261
20180910,2300,1.30261,1.303,1.30241,1.30267
20180911,0,1.30267,1.30404,1.3026,1.30314
20180911,100,1.30318,1.30332,1.30206,1.30285
20180911,200,1.30284,1.30333,1.3025,1.3033
20180911,300,1.30332,1.30403,1.30311,1.30381
20180911,400,1.30381,1.30478,1.30353,1.30371
20180911,500,1.30375,1.30596,1.30333,1.30516
20180911,600,1.30515,1.30632,1.30474,1.30543
20180911,700,1.30543,1.30869,1.30485,1.30657
20180911,800,1.30656,1.30815,1.29883,1.30395
20180911,900,1.3039,1.30442,1.30242,1.30343
20180911,1000,1.30344,1.30398,1.30136,1.30143
20180911,1100,1.30145,1.3028,1.29997,1.30114
20180911,1200,1.30115,1.30414,1.29641,1.29825
20180911,1300,1.29825,1.30026,1.29763,1.29893
20180911,1400,1.29893,1.30168,1.29878,1.29979
20180911,1500,1.29979,1.30151,1.29885,1.3014
20180911,1600,1.3014,1.30175,1.30048,1.30065
20180911,1700,1.30065,1.30209,1.3003,1.3012
20180911,1800,1.3012,1.30155,1.30061,1.30074
20180911,1900,1.30076,1.30179,1.30053,1.30179
20180911,2000,1.30183,1.30392,1.30154,1.30299
20180911,2100,1.30299,1.30299,1.30109,1.30167
20180911,2200,1.30167,1.30222,1.30133,1.30198
20180911,2300,1.30197,1.30231,1.30138,1.30157
20180912,0,1.30154,1.30196,1.30126,1.30182
20180912,100,1.30183,1.30191,1.30084,1.30108
20180912,200,1.30114,1.30137,1.30056,1.30077
20180912,300,1.30078,1.30125,1.30049,1.30077
20180912,400,1.30077,1.30109,1.3005,1.30088
20180912,500,1.30088,1.30132,1.29989,1.30034
20180912,600,1.30034,1.30153,1.29923,1.29957
20180912,700,1.2996,1.30382,1.29957,1.30296
20180912,800,1.30296,1.30477,1.30206,1.30243
20180912,900,1.30243,1.3041,1.30152,1.30339
20180912,1000,1.30341,1.30341,1.29824,1.29837
20180912,1100,1.2984,1.30008,1.29791,1.3
20180912,1200,1.29995,1.30209,1.29968,1.30078
20180912,1300,1.30078,1.3017,1.29999,1.30035
20180912,1400,1.30035,1.30261,1.30032,1.30202
20180912,1500,1.30201,1.30421,1.30117,1.30271
20180912,1600,1.30273,1.30821,1.3026,1.3059
20180912,1700,1.3059,1.30699,1.30522,1.30688
20180912,1800,1.30688,1.30696,1.30528,1.30549
20180912,1900,1.30549,1.30552,1.30461,1.30496
20180912,2000,1.30496,1.30548,1.30445,1.30446
20180912,2100,1.30446,1.30501,1.30377,1.3045
20180912,2200,1.30453,1.30516,1.30443,1.30467
20180912,2300,1.30467,1.30505,1.30439,1.30439
20180913,0,1.30439,1.30492,1.3043,1.30469
20180913,100,1.30469,1.30531,1.30407,1.30433
20180913,200,1.30434,1.30444,1.3038,1.30433
20180913,300,1.30433,1.30528,1.3042,1.30521
20180913,400,1.30526,1.30526,1.30417,1.30419
20180913,500,1.30418,1.30451,1.30297,1.30304
20180913,600,1.30302,1.30404,1.30261,1.30364
20180913,700,1.30361,1.30471,1.30338,1.30375
20180913,800,1.30374,1.30485,1.30347,1.3043
20180913,900,1.30429,1.30592,1.30393,1.3053
20180913,1000,1.3053,1.30658,1.30426,1.30623
20180913,1100,1.30624,1.30706,1.30339,1.30462
20180913,1200,1.30463,1.30925,1.30416,1.30892
20180913,1300,1.30894,1.31233,1.30832,1.31105
20180913,1400,1.31105,1.31206,1.30877,1.30942
20180913,1500,1.30942,1.31085,1.30917,1.31027
20180913,1600,1.31027,1.31108,1.30976,1.31083
20180913,1700,1.31083,1.31163,1.3104,1.31063
20180913,1800,1.31063,1.31149,1.31044,1.31114
20180913,1900,1.31113,1.31135,1.3103,1.3107
20180913,2000,1.3107,1.31102,1.3104,1.3106
20180913,2100,1.31057,1.31083,1.31008,1.31039
20180913,2200,1.31039,1.31145,1.31039,1.3109
20180913,2300,1.3109,1.3115,1.31082,1.31103
20180914,0,1.311,1.31186,1.31091,1.31136
20180914,100,1.31135,1.31146,1.31073,1.31105
20180914,200,1.31105,1.31142,1.31076,1.31122
20180914,300,1.31121,1.31221,1.31121,1.31178
20180914,400,1.31176,1.3119,1.31115,1.3119
20180914,500,1.31188,1.31225,1.31096,1.31104
20180914,600,1.31106,1.31208,1.31075,1.31156
20180914,700,1.31158,1.31371,1.31066,1.31343
20180914,800,1.31342,1.3138,1.31207,1.31319
20180914,900,1.31318,1.31383,1.31179,1.3123
20180914,1000,1.3123,1.31303,1.31155,1.31227
20180914,1100,1.31228,1.31267,1.30821,1.30861
20180914,1200,1.30866,1.31435,1.30858,1.3087
20180914,1300,1.30874,1.31061,1.30842,1.30887
20180914,1400,1.30889,1.30993,1.3073,1.30752
20180914,1500,1.30753,1.30914,1.30717,1.30821
20180914,1600,1.30821,1.30837,1.30665,1.30732
20180914,1700,1.30731,1.30776,1.30688,1.30731
20180914,1800,1.30731,1.30733,1.30618,1.30655
20180914,1900,1.30655,1.30666,1.30565,1.30605
20180914,2000,1.30606,1.30758,1.30593,1.30664
20180916,2100,1.30683,1.30761,1.30672,1.30719
20180916,2200,1.30719,1.3076,1.30697,1.3076
20180916,2300,1.30759,1.30759,1.30698,1.30707
20180917,0,1.30707,1.30785,1.30698,1.30772
20180917,100,1.30774,1.30779,1.30718,1.30757
20180917,200,1.30755,1.30831,1.3072,1.30825
20180917,300,1.30825,1.30839,1.30775,1.30812
20180917,400,1.30812,1.30831,1.30774,1.3082
20180917,500,1.30819,1.30905,1.30788,1.30888
20180917,600,1.30888,1.309,1.30751,1.30802
20180917,700,1.30801,1.30873,1.3073,1.30851
20180917,800,1.30853,1.31037,1.30819,1.31027
20180917,900,1.31027,1.31027,1.30914,1.30982
20180917,1000,1.30986,1.31121,1.30889,1.31075
20180917,1100,1.31073,1.31246,1.31021,1.3123
20180917,1200,1.31227,1.31497,1.31167,1.31449
20180917,1300,1.31451,1.31566,1.31346,1.31555
20180917,1400,1.31555,1.31558,1.31415,1.31508
20180917,1500,1.3151,1.31534,1.31345,1.31425
20180917,1600,1.31426,1.31607,1.31426,1.31583
20180917,1700,1.31584,1.31646,1.31561,1.31635
20180917,1800,1.31635,1.31645,1.31576,1.3163
20180917,1900,1.31629,1.31633,1.31579,1.31609
20180917,2000,1.31609,1.31613,1.31561,1.31564
20180917,2100,1.31566,1.31597,1.31519,1.31551
20180917,2200,1.31551,1.31629,1.31484,1.31495
20180917,2300,1.31498,1.3156,1.31426,1.31451
20180918,0,1.31451,1.31498,1.31397,1.31437
20180918,100,1.31438,1.31492,1.31407,1.31479
20180918,200,1.31479,1.31503,1.31445,1.31484
20180918,300,1.31484,1.31627,1.31484,1.31595
20180918,400,1.31596,1.31618,1.31523,1.3154
20180918,500,1.3154,1.31658,1.3148,1.31622
20180918,600,1.31622,1.31703,1.31455,1.31485
20180918,700,1.31485,1.31527,1.31302,1.31356
20180918,800,1.31354,1.31491,1.31354,1.31382
20180918,900,1.31379,1.31421,1.31185,1.31281
20180918,1000,1.31278,1.31427,1.31205,1.31398
20180918,1100,1.31399,1.31526,1.31298,1.31479
20180918,1200,1.31479,1.31523,1.31322,1.31522
20180918,1300,1.31522,1.31725,1.31514,1.3167
20180918,1400,1.31671,1.31672,1.31424,1.31541
20180918,1500,1.31543,1.31575,1.31417,1.31573
20180918,1600,1.31573,1.31667,1.31331,1.31333
20180918,1700,1.31332,1.31405,1.31303,1.3139
20180918,1800,1.31391,1.3146,1.31331,1.3137
20180918,1900,1.31368,1.31439,1.31335,1.31432
20180918,2000,1.31432,1.31494,1.31419,1.31475
20180918,2100,1.31475,1.3149,1.31371,1.31475
20180918,2200,1.31478,1.31753,1.3147,1.31642
20180918,2300,1.31638,1.31723,1.31624,1.31662
20180919,0,1.31662,1.31666,1.31483,1.31484
20180919,100,1.31482,1.31526,1.31414,1.31449
20180919,200,1.31449,1.31484,1.31432,1.31444
20180919,300,1.31444,1.31558,1.31443,1.31501
20180919,400,1.315,1.31556,1.31474,1.31493
